Game,Date,A,B,C,D,E,F
2604,02/08/2014,6,13,14,21,23,26
2605,05/08/2014,5,9,21,23,28,33
2606,09/08/2014,4,11,13,20,32,35
2607,12/08/2014,3,15,21,28,30,32
2608,16/08/2014,2,5,7,16,22,37
2609,19/08/2014,4,16,30,32,34,36
2610,23/08/2014,5,15,20,25,27,32
2611,26/08/2014,2,7,10,23,26,35
2612,30/08/2014,2,9,28,31,32,35
2613,02/09/2014,6,10,18,27,35,36
2614,06/09/2014,3,15,24,25,26,35
2615,09/09/2014,2,12,14,27,29,32
2616,13/09/2014,1,4,12,18,31,37
2617,16/09/2014,3,8,11,19,26,35
2618,20/09/2014,7,19,20,25,31,34
2619,23/09/2014,7,9,10,34,35,36
2620,28/09/2014,13,17,19,26,30,36
2621,30/09/2014,8,13,17,18,34,36
2622,05/10/2014,1,9,10,21,26,37
2623,07/10/2014,8,10,15,23,26,34
2624,11/10/2014,2,6,11,16,27,34
2625,14/10/2014,5,10,17,23,32,36
2626,18/10/2014,9,10,11,12,21,32
2627,21/10/2014,5,7,9,11,24,29
2628,25/10/2014,2,5,6,10,19,29
2629,28/10/2014,12,15,20,30,33,37
2630,01/11/2014,1,2,5,15,27,31
2631,04/11/2014,2,19,28,29,34,36
2632,08/11/2014,7,16,18,21,23,36
2633,11/11/2014,3,11,18,25,33,36
2634,15/11/2014,4,8,9,23,25,31
2635,18/11/2014,1,3,29,30,33,35
2636,22/11/2014,4,6,10,11,14,25
2637,25/11/2014,2,9,13,16,28,29
2638,29/11/2014,2,10,14,17,28,34
2639,02/12/2014,1,2,9,11,15,21
2640,06/12/2014,3,20,28,31,33,37
2641,09/12/2014,5,7,10,15,22,35
2642,13/12/2014,2,9,27,29,32,36
2643,16/12/2014,9,12,25,29,34,36
2644,20/12/2014,6,12,25,27,30,37
2645,23/12/2014,7,9,20,24,28,35
2646,27/12/2014,4,5,18,20,28,36
2647,30/12/2014,1,2,5,12,34,35
2648,03/01/2015,9,20,22,23,29,31
2649,06/01/2015,4,13,22,25,28,30
2650,10/01/2015,3,8,10,15,30,33
2651,13/01/2015,4,8,17,20,25,30
2652,17/01/2015,1,7,11,17,36,37
2653,20/01/2015,11,24,30,34,35,37
2654,24/01/2015,4,11,19,28,31,34
2655,27/01/2015,4,6,13,19,33,35
2656,31/01/2015,1,10,16,28,29,32
2657,03/02/2015,8,12,21,24,25,27
2658,07/02/2015,8,12,17,21,27,30
2659,10/02/2015,1,6,10,22,24,26
2660,14/02/2015,8,11,13,20,22,25
2661,17/02/2015,3,13,14,18,28,30
2662,21/02/2015,4,14,16,22,28,33
2663,24/02/2015,10,16,22,30,35,36
2664,28/02/2015,11,13,22,29,31,33
2665,03/03/2015,2,10,11,13,22,37
2666,07/03/2015,3,14,15,19,26,33
2667,10/03/2015,6,10,15,19,36,37
2668,14/03/2015,14,15,18,22,23,29
2669,17/03/2015,11,15,22,29,35,37
2670,21/03/2015,11,15,17,27,33,37
2671,24/03/2015,2,3,5,10,26,27
2672,28/03/2015,5,13,21,22,25,28
2673,31/03/2015,5,13,16,18,23,26
2674,04/04/2015,7,32,33,34,35,36
2675,07/04/2015,11,12,15,22,23,29
2676,12/04/2015,2,9,11,13,29,33
2677,14/04/2015,1,2,4,9,12,16
2678,18/04/2015,11,12,18,24,31,33
2679,21/04/2015,1,11,13,15,18,25
2680,25/04/2015,1,15,17,31,32,34
2681,28/04/2015,6,9,18,23,26,33
2682,02/05/2015,1,3,8,12,19,30
2683,05/05/2015,6,10,12,15,27,33
2684,09/05/2015,5,16,22,23,24,33
2685,12/05/2015,1,13,23,24,30,31
2686,16/05/2015,6,8,18,22,29,37
2687,19/05/2015,15,18,22,23,26,34
2688,24/05/2015,4,11,18,22,29,31
2689,26/05/2015,2,5,10,12,18,26
2690,30/05/2015,6,8,11,23,32,35
2691,02/06/2015,4,17,18,24,27,36
2692,06/06/2015,4,6,8,18,27,37
2693,09/06/2015,3,8,10,12,28,37
2694,13/06/2015,3,4,14,18,32,35
2695,16/06/2015,17,18,20,21,26,32
2696,20/06/2015,3,5,7,13,17,28
2697,23/06/2015,8,11,18,21,24,30
2698,27/06/2015,2,6,13,16,27,33
2699,30/06/2015,11,13,20,29,30,37
2700,04/07/2015,2,14,22,23,25,28
2701,07/07/2015,1,6,9,13,23,35
2702,11/07/2015,5,15,22,23,25,29
2703,14/07/2015,2,16,21,26,33,34
2704,18/07/2015,2,3,11,18,25,27
2705,21/07/2015,16,21,27,28,32,37
2706,26/07/2015,7,9,16,23,29,30
2707,28/07/2015,24,27,30,34,35,37
2708,01/08/2015,5,7,9,17,19,29
2709,04/08/2015,13,21,22,26,29,34
2710,08/08/2015,2,6,17,29,31,35
2711,11/08/2015,5,8,16,21,34,35
2712,15/08/2015,3,7,14,24,27,28
2713,18/08/2015,4,7,12,14,17,34
2714,22/08/2015,16,17,18,20,28,35
2715,25/08/2015,1,8,11,17,25,30
2716,29/08/2015,5,7,8,15,19,26
2717,01/09/2015,10,18,22,27,31,35
2718,05/09/2015,5,6,10,15,28,29
2719,08/09/2015,19,21,22,24,30,37
2720,12/09/2015,6,9,15,23,24,28
2721,16/09/2015,11,14,18,20,22,33
2722,19/09/2015,1,8,11,23,30,35
2723,21/09/2015,5,12,13,33,35,36
2724,26/09/2015,5,6,8,11,20,27
2725,29/09/2015,12,15,18,20,23,29
2726,03/10/2015,9,17,23,28,30,36
2727,06/10/2015,2,8,12,14,17,21
2728,10/10/2015,5,6,16,17,20,22
2729,13/10/2015,1,6,15,17,20,32
2730,17/10/2015,2,3,13,21,22,31
2731,20/10/2015,1,6,9,10,12,17
2732,24/10/2015,9,13,15,20,25,36
2733,27/10/2015,2,20,26,27,28,30
2734,31/10/2015,14,20,22,26,31,37
2735,03/11/2015,10,12,19,25,26,36
2736,07/11/2015,18,19,29,34,35,36
2737,10/11/2015,3,4,10,11,30,32
2738,14/11/2015,10,17,18,22,24,29
2739,17/11/2015,3,5,6,19,23,35
2740,21/11/2015,7,9,14,21,26,34
2741,24/11/2015,6,8,21,25,30,35
2742,28/11/2015,7,19,27,29,34,35
2743,01/12/2015,2,9,18,23,29,33
2744,05/12/2015,4,17,18,23,25,28
2745,08/12/2015,6,10,15,18,27,34
2746,12/12/2015,4,9,10,12,13,29
2747,15/12/2015,3,6,9,10,17,36
2748,19/12/2015,1,11,13,25,27,29
2749,22/12/2015,2,11,13,17,25,27
2750,26/12/2015,14,21,27,31,32,35
2751,29/12/2015,4,7,13,16,17,27
2752,02/01/2016,1,13,15,30,31,32
2753,05/01/2016,3,15,17,20,21,37
2754,09/01/2016,3,12,14,24,32,34
2755,12/01/2016,1,4,5,16,21,29
2756,16/01/2016,1,8,13,27,32,37
2757,19/01/2016,6,19,24,25,26,37
2758,23/01/2016,5,16,18,23,24,26
2759,26/01/2016,17,18,25,28,30,34
2760,30/01/2016,8,9,11,12,13,22
2761,02/02/2016,1,13,19,22,34,35
