Game,Date,A,B,C,D,E,F
3093,05/01/2019,6,9,13,20,26,36
3094,08/01/2019,5,8,14,15,18,25
3095,12/01/2019,8,15,20,24,25,33
3096,15/01/2019,6,7,17,28,33,36
3097,19/01/2019,4,9,17,26,27,37
3098,22/01/2019,3,10,13,17,33,37
3099,26/01/2019,11,12,26,34,36,37
3100,29/01/2019,1,13,20,25,31,33
3101,02/02/2019,11,18,19,25,35,37
3102,05/02/2019,1,6,12,17,22,26
3103,07/02/2019,4,13,18,22,28,34
3104,09/02/2019,3,7,9,21,22,33
3105,12/02/2019,10,11,17,21,23,32
3106,16/02/2019,3,9,11,13,21,25
3107,19/02/2019,3,9,23,24,25,26
3108,23/02/2019,12,15,21,24,30,32
3109,26/02/2019,5,6,12,16,29,34
3110,02/03/2019,20,25,28,34,36,37
3111,05/03/2019,2,21,25,27,28,36
3112,07/03/2019,11,14,19,20,21,26
3113,09/03/2019,12,14,15,18,20,21
3114,12/03/2019,6,20,25,30,33,35
3115,16/03/2019,7,11,12,25,28,31
3116,19/03/2019,3,22,24,25,28,37
3117,23/03/2019,3,5,7,18,23,27
3118,26/03/2019,1,15,20,22,23,31
3119,30/03/2019,4,6,10,18,22,25
3120,02/04/2019,1,11,17,21,33,34
3121,04/04/2019,4,5,19,25,31,32
3122,06/04/2019,3,4,5,18,23,29
3123,09/04/2019,1,3,6,9,14,28
3124,13/04/2019,10,13,14,19,20,25
3125,16/04/2019,12,13,15,17,25,31
3126,20/04/2019,1,8,15,22,31,35
3127,23/04/2019,2,8,15,27,31,35
3128,28/04/2019,8,19,26,30,31,36
3129,30/04/2019,1,12,17,21,25,26
3130,04/05/2019,9,10,11,13,15,21
3131,06/05/2019,7,8,11,14,16,22
3132,11/05/2019,6,18,19,23,24,28
3133,14/05/2019,1,12,16,20,30,36
3134,16/05/2019,1,8,13,21,25,31
3135,18/05/2019,3,27,29,31,32,33
3136,21/05/2019,17,20,22,24,28,32
3137,25/05/2019,3,10,16,25,29,32
3138,28/05/2019,1,4,11,14,17,22
3139,01/06/2019,4,5,19,24,31,37
3140,04/06/2019,1,6,19,22,25,32
3141,06/06/2019,10,12,15,19,27,28
3142,09/06/2019,3,13,14,20,22,23
3143,11/06/2019,4,13,17,19,25,37
3144,15/06/2019,4,7,8,9,16,31
3145,18/06/2019,1,9,13,19,20,34
3146,20/06/2019,4,11,16,25,35,36
3147,22/06/2019,3,10,11,17,24,36
3148,25/06/2019,17,22,26,28,34,36
3149,29/06/2019,10,11,14,24,27,35
3150,02/07/2019,1,28,29,30,32,34
3151,04/07/2019,8,18,26,29,31,36
3152,06/07/2019,4,18,19,23,24,37
3153,09/07/2019,1,10,12,14,27,29
3154,13/07/2019,13,15,16,28,31,32
3155,16/07/2019,3,4,7,18,22,23
3156,20/07/2019,14,17,25,26,29,35
3157,23/07/2019,1,10,28,31,32,35
3158,27/07/2019,4,13,17,28,35,37
3159,30/07/2019,6,10,11,24,32,36
3160,03/08/2019,11,19,20,27,30,37
3161,06/08/2019,1,14,25,29,30,33
3162,08/08/2019,6,10,22,25,30,37
3163,11/08/2019,11,17,25,33,35,36
3164,13/08/2019,1,13,15,27,31,35
3165,17/08/2019,11,13,17,24,34,36
3166,20/08/2019,9,16,21,25,27,36
3167,24/08/2019,4,5,6,9,20,37
3168,27/08/2019,2,6,9,12,16,18
3169,31/08/2019,1,3,18,21,23,36
3170,03/09/2019,1,4,6,17,20,34
3171,05/09/2019,1,7,10,24,28,37
3172,07/09/2019,6,10,29,32,33,34
3173,10/09/2019,3,12,13,17,18,36
3174,14/09/2019,7,16,17,27,32,37
3175,17/09/2019,2,8,16,19,29,33
3176,21/09/2019,2,11,22,32,35,37
3177,24/09/2019,5,6,7,14,26,37
3178,28/09/2019,3,19,25,30,33,34
3179,02/10/2019,1,22,32,33,35,37
3180,05/10/2019,6,8,12,13,32,35
3181,10/10/2019,8,14,16,26,32,35
3182,12/10/2019,1,5,12,22,34,37
3183,15/10/2019,3,4,6,8,14,35
3184,19/10/2019,4,5,10,16,17,18
3185,22/10/2019,5,14,15,19,20,31
3186,26/10/2019,1,15,19,23,28,32
3187,29/10/2019,3,13,20,26,29,35
3188,02/11/2019,1,11,27,29,33,37
3189,05/11/2019,9,11,14,19,23,33
3190,07/11/2019,1,19,21,26,30,33
3191,09/11/2019,10,16,19,30,34,37
3192,12/11/2019,2,6,14,19,27,29
3193,16/11/2019,3,8,31,32,34,35
3194,19/11/2019,2,10,15,17,18,24
3195,21/11/2019,4,7,9,14,20,22
3196,23/11/2019,6,7,14,19,20,28
3197,26/11/2019,2,5,8,22,24,29
3198,30/11/2019,6,17,20,25,33,36
3199,03/12/2019,9,10,16,20,32,34
3200,05/12/2019,8,9,10,17,30,34
3201,07/12/2019,2,15,20,26,27,30
3202,10/12/2019,6,15,28,31,34,35
3203,14/12/2019,2,3,5,9,24,32
3204,17/12/2019,2,5,12,14,29,33
3205,19/12/2019,4,13,15,22,30,37
3206,21/12/2019,1,6,7,16,26,36
3207,24/12/2019,2,11,16,21,22,31
3208,28/12/2019,2,17,18,29,31,32
3209,31/12/2019,1,5,8,15,17,31
3210,04/01/2020,1,7,12,18,31,33
3211,07/01/2020,2,6,9,27,35,37
3212,11/01/2020,7,14,16,31,32,35
3213,14/01/2020,6,16,23,25,27,30
3214,16/01/2020,8,21,23,24,36,37
3215,18/01/2020,5,9,12,28,30,36
3216,21/01/2020,1,4,6,30,35,36
3217,25/01/2020,3,4,17,22,27,34
3218,28/01/2020,12,14,16,17,31,36
3219,01/02/2020,8,12,26,28,32,33
3220,04/02/2020,9,21,25,27,32,34
3221,06/02/2020,5,9,13,14,17,33
3222,08/02/2020,1,19,20,32,34,35
3223,11/02/2020,5,6,12,16,25,33
3224,15/02/2020,4,8,10,14,21,35
3225,18/02/2020,7,8,15,20,27,29
3226,22/02/2020,1,15,22,23,29,33
3227,25/02/2020,6,16,18,28,33,37
3228,29/02/2020,7,21,25,27,30,31
3229,03/03/2020,2,4,20,23,25,35
3230,05/03/2020,4,10,15,18,26,32
3231,07/03/2020,14,19,21,22,23,32
3232,10/03/2020,11,19,23,27,30,36
3233,14/03/2020,11,13,17,18,32,35
3234,17/03/2020,3,7,9,23,25,33
3235,25/04/2020,15,16,18,20,28,37
3236,02/05/2020,1,13,16,32,33,37
3237,05/05/2020,1,2,6,8,20,37
3238,07/05/2020,5,7,10,13,20,29
3239,09/05/2020,8,9,13,24,26,34
3240,12/05/2020,2,7,12,20,21,29
3241,16/05/2020,10,11,14,19,24,35
3242,19/05/2020,20,21,23,26,29,33
3243,23/05/2020,5,8,10,12,14,22
3244,26/05/2020,9,16,22,26,30,36
3245,30/05/2020,1,13,25,27,33,37
3246,02/06/2020,2,13,22,23,25,30
3247,04/06/2020,5,15,26,28,32,37
3248,06/06/2020,7,8,18,23,25,37
3249,09/06/2020,13,14,21,24,27,30
3250,13/06/2020,5,12,15,22,24,31
3251,16/06/2020,18,19,28,30,32,35
3252,18/06/2020,5,6,8,18,20,30
3253,20/06/2020,3,5,10,11,18,23
3254,23/06/2020,1,3,18,19,25,30
3255,27/06/2020,1,6,13,21,25,28
3256,30/06/2020,22,24,26,27,28,29
3257,02/07/2020,10,12,13,24,25,31
3258,04/07/2020,1,4,8,27,28,33
3259,07/07/2020,1,7,9,21,31,36
3260,11/07/2020,10,12,18,28,34,37
3261,14/07/2020,6,20,22,30,32,33
3262,18/07/2020,4,9,12,30,31,33
3263,21/07/2020,3,6,10,12,30,36
3264,25/07/2020,12,13,17,21,23,25
3265,28/07/2020,1,3,11,13,25,34
3266,01/08/2020,4,6,7,15,16,34
3267,04/08/2020,4,17,20,21,33,34
3268,06/08/2020,10,20,24,26,28,35
3269,08/08/2020,5,9,14,27,29,34
3270,11/08/2020,15,18,21,24,28,34
3271,15/08/2020,1,12,14,17,24,28
3272,18/08/2020,6,20,21,24,30,31
3273,20/08/2020,2,6,7,19,24,28
3274,22/08/2020,11,12,29,31,34,35
3275,25/08/2020,2,12,19,20,21,36
3276,29/08/2020,3,6,14,22,32,37
3277,01/09/2020,4,5,8,13,17,28
3278,03/09/2020,4,6,24,26,35,36
3279,05/09/2020,6,19,23,28,33,34
3280,08/09/2020,5,6,13,16,20,28
3281,12/09/2020,2,5,12,17,23,32
3282,15/09/2020,1,8,14,19,29,37
3283,17/09/2020,5,10,12,14,24,29
3284,20/10/2020,2,8,15,22,24,35
3285,24/10/2020,20,22,31,32,36,37
3286,27/10/2020,3,17,19,22,23,28
3287,31/10/2020,5,11,14,24,30,36
3288,03/11/2020,1,17,23,24,32,37
3289,07/11/2020,5,10,14,23,26,35
3290,10/11/2020,5,6,12,18,23,31
3291,14/11/2020,9,19,22,24,29,34
3292,17/11/2020,2,20,24,25,32,34
3293,19/11/2020,4,17,25,27,34,37
3294,21/11/2020,2,13,21,22,23,25
3295,24/11/2020,1,5,22,27,28,29
3296,28/11/2020,5,8,9,11,18,22
3297,01/12/2020,3,4,12,16,22,31
3298,03/12/2020,9,16,19,23,26,33
3299,05/12/2020,1,15,21,25,33,37
3300,08/12/2020,8,10,16,18,23,30
3301,12/12/2020,3,5,19,20,31,37
3302,15/12/2020,3,8,9,16,20,21
3303,19/12/2020,3,9,11,22,26,34
3304,22/12/2020,1,5,12,27,32,36
3305,26/12/2020,1,10,17,20,35,36
3306,29/12/2020,12,13,16,21,25,33
3307,02/01/2021,6,19,20,25,27,32
3308,05/01/2021,5,12,14,16,17,24
3309,09/01/2021,12,24,25,28,34,37
3310,12/01/2021,2,9,11,13,35,37
3311,16/01/2021,1,9,17,22,33,36
3312,19/01/2021,6,14,17,22,24,33
3313,23/01/2021,3,7,12,16,23,37
3314,26/01/2021,2,4,17,31,33,35
3315,30/01/2021,14,17,19,20,28,29
3316,02/02/2021,6,21,28,30,32,35
3317,06/02/2021,3,16,18,20,30,36
3318,09/02/2021,3,7,12,13,20,31
3319,13/02/2021,5,22,26,31,33,36
3320,16/02/2021,5,9,18,21,30,33
3321,20/02/2021,8,10,15,20,23,32
3322,23/02/2021,4,12,13,15,16,24
3323,28/02/2021,14,16,22,23,29,30
3324,02/03/2021,8,15,19,23,27,37
3325,04/03/2021,7,20,24,26,27,37
3326,06/03/2021,7,13,15,22,29,34
3327,09/03/2021,1,5,24,25,29,35
3328,13/03/2021,1,6,12,14,18,34
3329,16/03/2021,4,5,14,17,24,32
3330,20/03/2021,11,12,18,33,35,36
3331,23/03/2021,8,16,22,26,28,34
3332,25/03/2021,1,5,25,27,28,31
3333,30/03/2021,1,7,16,23,28,34
3334,03/04/2021,3,5,7,9,19,27
3335,06/04/2021,5,13,15,21,22,33
3336,10/04/2021,2,7,8,10,30,31
3337,12/04/2021,2,5,6,7,15,30
3338,17/04/2021,2,6,10,11,16,35
3339,20/04/2021,1,3,4,13,20,37
3340,22/04/2021,3,5,13,23,24,35
3341,24/04/2021,1,2,13,14,22,36
3342,27/04/2021,2,15,19,33,34,36
3343,01/05/2021,2,5,11,18,24,25
3344,04/05/2021,11,22,23,25,32,34
3345,06/05/2021,4,8,13,17,28,29
3346,08/05/2021,10,11,12,20,26,35
3347,11/05/2021,4,6,14,20,28,31
3348,15/05/2021,1,5,9,24,36,37
3349,18/05/2021,1,13,14,17,19,20
3350,22/05/2021,1,5,10,21,22,33
3351,25/05/2021,4,9,13,14,25,34
3352,29/05/2021,9,11,15,21,23,24
3353,01/06/2021,4,6,13,14,16,31
3354,03/06/2021,8,14,15,20,32,33
3355,05/06/2021,7,9,10,21,24,33
3356,08/06/2021,2,5,22,26,30,33
3357,12/06/2021,2,10,19,32,33,37
3358,15/06/2021,3,16,22,25,26,37
3359,17/06/2021,1,2,8,19,28,30
3360,19/06/2021,12,18,20,26,29,37
3361,22/06/2021,3,6,8,13,18,27
3362,26/06/2021,3,4,9,19,22,26
3363,29/06/2021,7,12,13,21,28,35
3364,01/07/2021,2,13,19,20,22,25
3365,03/07/2021,2,10,13,16,32,37
3366,06/07/2021,8,11,14,16,18,29
3367,10/07/2021,2,8,15,16,23,33
3368,13/07/2021,8,9,23,24,28,33
3369,18/07/2021,11,13,14,17,21,23
3370,20/07/2021,2,11,13,27,28,31
3371,22/07/2021,4,12,20,30,35,37
3372,24/07/2021,10,16,19,23,24,28
3373,27/07/2021,15,18,23,25,29,37
3374,31/07/2021,16,24,28,34,35,36
3375,03/08/2021,1,11,21,23,27,36
3376,05/08/2021,2,4,10,11,18,35
3377,07/08/2021,13,17,18,23,25,27
3378,10/08/2021,3,9,10,17,24,32
3379,14/08/2021,2,12,13,23,25,30
3380,17/08/2021,4,11,25,26,28,37
3381,21/08/2021,6,21,25,26,30,35
3382,24/08/2021,15,18,21,28,31,33
3383,28/08/2021,4,5,8,17,26,36
3384,31/08/2021,6,11,15,20,36,37
3385,02/09/2021,1,2,11,16,28,37
3386,04/09/2021,2,6,12,13,26,37
3387,09/09/2021,1,3,9,23,25,27
3388,11/09/2021,15,19,21,30,32,35
3389,14/09/2021,4,8,24,25,30,31
3390,18/09/2021,8,26,28,29,33,35
3391,22/09/2021,4,6,12,20,31,36
3392,25/09/2021,11,14,16,30,32,35
3393,29/09/2021,3,5,8,9,19,36
3394,02/10/2021,10,12,13,17,30,31
3395,05/10/2021,4,10,11,14,15,33
3396,09/10/2021,7,20,24,26,33,36
3397,12/10/2021,7,11,22,28,31,32
3398,14/10/2021,8,16,17,20,29,30
3399,16/10/2021,5,10,14,20,23,28
3400,19/10/2021,7,12,24,28,32,34
3401,23/10/2021,7,16,17,22,26,29
3402,26/10/2021,14,17,27,29,33,35
3403,30/10/2021,1,2,17,19,36,37
3404,02/11/2021,2,6,10,12,24,31
3405,04/11/2021,1,4,15,26,33,37
3406,06/11/2021,7,8,21,24,26,30
3407,09/11/2021,6,9,19,21,28,36
3408,13/11/2021,2,9,13,31,34,37
3409,16/11/2021,7,9,17,20,22,26
3410,18/11/2021,4,9,20,23,32,37
3411,20/11/2021,13,18,20,23,26,36
3412,23/11/2021,8,15,16,23,27,33
3413,27/11/2021,8,17,22,24,28,33
3414,30/11/2021,3,4,19,27,32,33
3415,02/12/2021,3,15,19,26,27,31
3416,04/12/2021,15,20,23,26,28,37
3417,07/12/2021,5,11,13,18,32,37
3418,11/12/2021,12,15,17,20,21,23
3419,14/12/2021,6,8,10,12,25,34
3420,16/12/2021,6,13,15,20,29,31
3421,18/12/2021,1,5,10,13,30,33
3422,21/12/2021,4,24,28,30,32,34
3423,25/12/2021,16,20,21,23,34,36
3424,28/12/2021,6,8,14,15,23,36
3425,01/01/2022,4,8,9,28,33,37
3426,04/01/2022,1,6,9,12,28,29
3427,08/01/2022,7,10,12,15,18,34
3428,11/01/2022,8,9,30,31,33,36
3429,13/01/2022,1,5,10,11,23,34
3430,15/01/2022,7,12,17,19,36,37
3431,18/01/2022,8,17,21,27,33,34
3432,22/01/2022,8,16,18,19,35,36
3433,25/01/2022,3,24,26,27,32,37
3434,29/01/2022,3,5,7,23,26,36
3435,01/02/2022,2,6,9,11,33,37
3436,05/02/2022,6,7,16,30,32,36
3437,08/02/2022,2,15,17,18,31,33
3438,10/02/2022,3,9,10,16,27,31
3439,12/02/2022,2,5,12,15,16,34
3440,15/02/2022,4,8,11,12,15,25
3441,19/02/2022,9,12,15,25,29,30
3442,22/02/2022,14,22,25,28,33,34
3443,26/02/2022,1,22,27,30,31,37
3444,01/03/2022,7,16,20,30,32,33
3445,05/03/2022,10,12,19,23,27,30
3446,08/03/2022,1,2,4,8,18,21
3447,12/03/2022,1,4,16,21,22,35
3448,15/03/2022,3,9,16,27,34,37
3449,17/03/2022,8,18,21,23,33,36
3450,19/03/2022,9,10,18,19,29,35
3451,22/03/2022,2,16,26,27,33,35
3452,26/03/2022,1,11,12,13,18,36
3453,29/03/2022,1,3,5,11,25,31
3454,02/04/2022,1,3,9,26,29,34
3455,05/04/2022,7,14,15,20,27,36
3456,07/04/2022,15,20,27,29,36,37
3457,09/04/2022,2,12,19,29,30,33
3458,12/04/2022,9,15,17,23,26,29
3459,16/04/2022,6,7,14,19,20,23
3460,19/04/2022,2,3,5,8,14,19
3461,24/04/2022,10,13,17,22,29,35
3462,26/04/2022,7,10,11,19,22,29
3463,30/04/2022,8,9,10,18,29,32
3464,02/05/2022,1,14,15,17,28,37
3465,07/05/2022,3,13,21,24,27,35
3466,10/05/2022,17,19,21,23,25,34
3467,14/05/2022,9,16,17,21,26,29
3468,17/05/2022,1,4,5,24,31,32
3469,19/05/2022,1,8,18,25,29,30
3470,21/05/2022,3,4,5,15,24,33
3471,24/05/2022,6,10,13,20,23,35
